id,tgt_text,target_keywords,allm_output,prompt,audio_sound,spoken_text,audio_only_target,speech_only_target
1,They are planning to build a sandcastle.,sandcastle,"Based on the spoken phrase ""Let's build a castle over there!"" and the accompanying sounds of blocks being placed and moved, the speakers are specifically engaged in the activity of constructing a castle within a game environment.",What are the speakers likely doing?,"Waves crashing,seagulls",Let’s build a castle over there.,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.
2,They are likely fishing.,fishing,"Based on the excited exclamation ""Yeah! This one is much bigger!"" and the accompanying sounds of splashing water, the speakers are likely engaged in an activity involving water, such as fishing or boating. The phrase ""This one is much bigger"" strongly suggests they are catching or observing a large fish or similar aquatic creature.",What are the speakers likely doing?,"Seagulls,water lapping against a boat",Yeah! This one is much bigger!,They are likely enjoying a day at the beach or sailing on a boat.,They are likely comparing the size of objects.
3,They are likely watching or observing crabs.,crab,"The audio features a distinct sound of a train moving, accompanied by speech. The speaker's statement, ""Look! They are walking sideways,"" directly describes the observed action of people walking in a specific manner relative to the train's movement. This combination of auditory cues and the explicit description of the action strongly indicates that the speakers are observing and commenting on people walking sideways near a moving train.",What are the speakers likely doing?,"Waves and seagulls, occasional footsteps",Look! They are walking sideways.,They are likely walking on a beach.,They are likely performing a dance move or maneuvering in a confined space.
4,They are likely at a sports event where people are reacting to a referee's decision.,"sport,referee","Based on the audio, the speakers are engaged in a competitive activity involving a ball. The sound of the ball being struck and the subsequent movement indicates a game like soccer or handball. The spoken phrase ""That's not a yellow, but a red"" is a specific rule reference, indicating that the speakers are actively involved in a game where such rules apply, likely a soccer match. Therefore, they are playing soccer.",What are the speakers likely doing?,Crowd,That's not a yellow but a red!,They are attending an event or gathering,They are likely discussing the color of an object or item.
5,They are likely at a recreational facility or amusement park.,amusement park,"Based on the audio, the speakers are likely providing safety instructions or guidelines. The spoken text explicitly states, ""Children must be accompanied by an adult at all times,"" which is a common safety rule. The presence of background sounds like a child's voice and a baby crying further supports the context of a setting where children are present and safety is a concern. Therefore, the speakers are likely giving instructions related to child safety.",What are the speakers likely doing?,Sound of shouting and joyful laughter,Children must be accompanied by an adult at all times.,They are likely celebrating or having a party.,They are likely making an announcement or providing instructions in a public place.
6,They are celebrating someone's birthday or coming-of-age event.,"birthday,age","Based on the audio, the presence of a child's voice and the spoken phrase ""You are an adult"" suggests a conversation where an adult is addressing a child. The adult's tone is calm and neutral, indicating a non-confrontational interaction. The phrase itself is a direct statement about the child's age or status, implying the adult is likely explaining or confirming something related to the child's development or maturity. Therefore, the speakers are likely having a conversation where the adult is explaining or confirming something about the child's age or status.",What are the speakers likely doing?,Sound of party.,You are an adult!,They are likely attending or hosting a party,They are likely addressing someone in a direct and possibly authoritative manner.
7,They are likely pulling over to let an emergency vehicle pass.,pull over,"The audio features a distinct sound of a train passing by, followed by a clear spoken instruction: ""It's behind us, we must let it pass."" This direct command, combined with the sound of the train, strongly indicates that the speakers are actively involved in managing or navigating a situation where a train is present, and they are being told to allow it to proceed.",What are the speakers likely doing?,Siren wailing,It's behind us we must let it pass.,They are likely responding to an emergency situation.,They are likely driving a vehicle and passing something behind them.
8,They are likely interacting with a police officer during a traffic stop.,"traffic stop,police officer","The audio features a distinct ""ping"" sound followed by a request for a ""license"". This sequence of events, particularly the ""ping"" sound which is often used as an alert or signal, combined with the direct request for a ""license"", strongly indicates that the speakers are engaged in a process of identification or verification. The request for a ""license"" is a common step in such a process, typically requiring the person to present a document or card that confirms their identity or authorization. Therefore, based on the audio cues, the speakers are likely involved in a procedure requiring identification or verification, such as entering a secure area, accessing a service, or completing a transaction that requires a license.",What are the speakers likely doing?,Sound of a siren and car,License please.,They are likely in an emergency situation.,They are likely in a situation where they need to verify or check someone's identification or permission.
9,They are attempting to avoid an attack from an animal.,"avoid,attack","The audio features a distinct sound effect resembling a gunshot or a similar impact, immediately followed by the spoken command ""Play dead"". This combination strongly suggests that the speakers are engaged in an activity involving simulated combat or a game where such commands and sound effects are used. The command ""Play dead"" is a common phrase used in such contexts to indicate a character or player is incapacitated or defeated. Therefore, based on the specific audio cues and the direct command, the speakers are likely participating in a simulated combat scenario or a game involving such elements.",What are the speakers likely doing?,Animal howling,Play dead!,They are likely observing or interacting with animals that are howling.,They are likely participating in a game or acting exercise.
10,They are likely adjusting or repairing a vehicle or machinery.,"repair,adjust","The speaker explicitly states, ""This is tricky, but I think I've got it,"" indicating they are attempting to solve a problem or complete a task that is difficult. The phrase ""I think I've got it"" directly expresses the conclusion of this effort. Therefore, based on the speaker's words, they are in the process of figuring something out or completing a challenging task.",What are the speakers likely doing?,Engine humming,This is tricky but I think I've got it.,They are likely driving or operating a vehicle.,They are likely working on solving a problem or completing a task.
