id,tgt_text,target_keywords,allm_output,prompt,audio_sound,spoken_text,audio_only_target,speech_only_target
1,They are planning to build a sandcastle.,sandcastle,"Based on the audio, the distinct sound of waves crashing against a shoreline is clearly audible, indicating a beach setting. The spoken text explicitly states, ""Let's build a castle over there!"" which directly describes the action of constructing a sandcastle. Therefore, combining the environmental sound with the spoken intention, the speakers are specifically engaged in building a sandcastle at the beach.",What are the speakers likely doing?,"Waves crashing,seagulls",Let’s build a castle over there.,They are at the beach enjoying the ocean.,They a planning to build a castle in a specific location.
2,They are likely fishing.,fishing,"Based on the sounds of water splashing and the speaker's exclamation ""Yeah! This one is much bigger!"" combined with the context of being on a boat, the speakers are likely engaged in fishing. The exclamation indicates they have caught a fish, and the size comparison suggests they are comparing the current catch to previous ones, which is typical behavior during fishing.",What are the speakers likely doing?,"Seagulls,water lapping against a boat",Yeah! This one is much bigger!,They are likely enjoying a day at the beach or sailing on a boat.,They are likely comparing the size of objects.
3,They are likely watching or observing crabs.,crab,"Based on the audio, the presence of bird sounds and the speaker's observation of ""walking sideways"" strongly suggests the speakers are observing birds. The speaker's comment indicates they are actively watching and describing the birds' movement. Therefore, the speakers are likely observing birds.",What are the speakers likely doing?,"Waves and seagulls, occasional footsteps",Look! They are walking sideways.,They are likely walking on a beach.,They are likely performing a dance move or maneuvering in a confined space.
4,They are likely at a sports event where people are reacting to a referee's decision.,"sport,referee","Based on the audio, the speakers are actively participating in a soccer match. The presence of crowd cheering and the sound of a ball being kicked strongly indicate a live sports event. The spoken text, ""That's not a yellow but a red,"" is a specific rule-based call made during the game, confirming a red card has been issued. Therefore, the speakers are likely referees officiating the match.",What are the speakers likely doing?,Crowd,That's not a yellow but a red!,They are attending an event or gathering,They are likely discussing the color of an object or item.
5,They are likely at a recreational facility or amusement park.,amusement park,"Based on the audio, the presence of children's laughter and the spoken instruction ""Children must be accompanied by an adult at all times,"" it can be inferred that the speakers are likely in a setting where children are present and are being supervised by adults. The instruction directly states the requirement for adult supervision, and the background sounds suggest a lively environment where children are active. Therefore, the speakers are likely supervising children in a setting where adult presence is necessary.",What are the speakers likely doing?,Sound of shouting and joyful laughter,Children must be accompanied by an adult at all times.,They are likely celebrating or having a party.,They are likely making an announcement or providing instructions in a public place.
6,They are celebrating someone's birthday or coming-of-age event.,"birthday,age","Based on the audio, the presence of a child's excited voice and the sound of a crowd cheering strongly suggest a public event or gathering. The spoken text, ""You are an adult,"" is a direct statement made by one of the speakers. This statement, delivered in a tone that sounds like a positive affirmation or encouragement, combined with the context of a public event, strongly indicates that the speakers are likely participating in a ceremony or activity where someone is being recognized or celebrated for reaching adulthood.",What are the speakers likely doing?,Sound of party.,You are an adult!,They are likely attending or hosting a party,They are likely addressing someone in a direct and possibly authoritative manner.
7,They are likely pulling over to let an emergency vehicle pass.,pull over,"Based on the audio, the presence of a siren indicates an emergency vehicle is approaching. The spoken text, ""It's behind us, we must let it pass,"" directly instructs the speakers to yield to this vehicle. Therefore, the speakers are likely in a vehicle or location where they are being instructed to yield to an emergency vehicle.",What are the speakers likely doing?,Siren wailing,It's behind us we must let it pass.,They are likely responding to an emergency situation.,They are likely driving a vehicle and passing something behind them.
8,They are likely interacting with a police officer during a traffic stop.,"traffic stop,police officer","The audio features a distinct siren sound, which is characteristic of emergency vehicles. This is immediately followed by a voice stating ""License please,"" a standard phrase used by law enforcement officers during traffic stops. The combination of the siren and the command strongly indicates that the speakers are involved in a traffic stop, with one speaker likely being a law enforcement officer requesting a driver's license.",What are the speakers likely doing?,Sound of a siren and car,License please.,They are likely in an emergency situation.,They are likely in a situation where they need to verify or check someone's identification or permission.
9,They are attempting to avoid an attack from an animal.,"avoid,attack","The audio features a distinct sound of a dog growling, followed by a clear command from a human voice. The command is ""Play dead."" This direct instruction, combined with the presence of a growling dog, strongly indicates that the speakers are engaged in a training session where the dog is being taught to lie down and stay still upon command.",What are the speakers likely doing?,Animal howling,Play dead!,They are likely observing or interacting with animals that are howling.,They are likely participating in a game or acting exercise.
10,They are likely adjusting or repairing a vehicle or machinery.,"repair,adjust","The audio features the distinct sound of a car engine idling, followed by a male voice speaking. The speaker explicitly states, ""This is tricky, but I think I've got it."" This combination of sounds and speech strongly suggests the speaker is attempting to perform a task involving the car, likely related to the engine or a component within it, and has just succeeded in doing so.",What are the speakers likely doing?,Engine humming,This is tricky but I think I've got it.,They are likely driving or operating a vehicle.,They are likely working on solving a problem or completing a task.
11,They are likely setting up or adjusting a tent.,tent,"The audio features the distinct sound of a rope being pulled, which is a common action when securing something. Simultaneously, a voice is heard saying, ""You need to secure the four corners."" This direct instruction, combined with the sound of the rope, strongly suggests that the speakers are in the process of securing an object or structure by pulling a rope to fasten it at multiple points.",What are the speakers likely doing?,Rustling leaves and river,You need to secure the four corners.,They are likely hiking or enjoying a peaceful outdoor environment.,They are likely setting up or adjusting something physical.
12,They are seeking shelter from the heavy rain.,"seek,shelter","The audio features the distinct sound of heavy rain and thunder, indicating a storm. The speaker explicitly states, ""We need to get inside,"" which directly indicates the action of seeking shelter from the weather. Therefore, based on the combination of the environmental sounds and the spoken statement, the speakers are likely taking immediate action to find safety from the storm.",What are the speakers likely doing?,Heavy rain,We need to get inside!,They are likely experiencing heavy rain.,They are trying to enter a building or a secured area urgently.
13,They are likely dealing with a leaking issue from the ceiling.,ceiling,"Based on the distinct sound of water dripping and the spoken phrase ""Let's call the neighbor upstairs,"" the speakers are likely dealing with a plumbing issue. The dripping sound strongly suggests a leak, and the phrase indicates they are considering contacting someone to address the problem. Therefore, they are likely dealing with a plumbing issue.",What are the speakers likely doing?,Sound of dripping water,Let's call the neighbor upstairs.,They are likely dealing with a leaking faucet or pipe.,They are likely discussing the need to contact the neighbor who lives above them.
14,They are likely birdwatching or taking a photograph of a bird.,"birdwatching,photograph","The audio features the distinct sound of a camera shutter clicking, immediately followed by a statement from the speaker, ""I got a clear shot."" This combination of sounds and speech strongly indicates that the speaker is actively taking a photograph. The phrase ""clear shot"" further confirms the successful capture of an image.",What are the speakers likely doing?,Birds chirping,I got a clear shot!,They are likely relaxing outdoors.,They are likely shooting or aiming at a target.
15,They are likely having a picnic.,picnic,"The audio features the distinct sound of a horse trotting, indicating the presence of a horse. The speaker's question, ""What's in your basket?"", directly addresses someone who is likely carrying something. Combining these elements, the most plausible activity is that the speaker is interacting with someone who is riding a horse and carrying a basket, possibly asking about its contents.",What are the speakers likely doing?,"Birds chirping, gentle breeze",What's in your basket?,They are likely spending time outdoors.,They are likely discussing the contents of a basket.
